DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,F,BE,2021,61187,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,F,BE,2022,62318,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,M,BE,2011,68700,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,M,BE,2012,66806,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,M,BE,2013,65440,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,M,BE,2014,64491,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,M,BE,2015,64938,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,M,BE,2016,65740,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,M,BE,2017,64959,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,M,BE,2018,65141,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,M,BE,2019,66381,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,M,BE,2020,65319,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,M,BE,2021,64744,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y18,M,BE,2022,65808,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,F,BE,2011,67374,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,F,BE,2012,66940,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,F,BE,2013,64872,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,F,BE,2014,62274,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,F,BE,2015,62262,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,F,BE,2016,63295,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,F,BE,2017,63216,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,F,BE,2018,62384,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,F,BE,2019,62590,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,F,BE,2020,63558,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,F,BE,2021,62816,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,F,BE,2022,62210,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,M,BE,2011,69966,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,M,BE,2012,69446,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,M,BE,2013,67318,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y19,M,BE,2014,65701,
